Raw,StoreCode,StoreName
"0103 PEP BUTTERWORTH GRUBB STREET SHOP, C/O GRUBB STREET KING STREET BUTTERWORTH BUTTERWORTH EASTERN CAPE",0103,PEP BUTTERWORTH
"0108 PEP BFN HANGER STREET SHOP, 6 HANGER STREET BLOEMFONTEIN BLOEMFONTEIN FREE STATE",0108,PEP BFN
"0134 PEP KIMBERLEY GRAND HOTEL SHOP GRAND HOTEL BUILDING, PHAKAMILE MABIJA STREET KIMBERLEY NORTH KIMBERLEY NORTHERN CAPE",0134,PEP KIMBERLEY
"0136 PEP KIM 18 PHAKAMILE MABIJA SHOP, 18 PHAKAMILE MABIJA STREET KIMBERLEY NORTH KIMBERLEY NORTHERN CAPE",0136,PEP KIM
"0141 PEP KOKSTAD MAIN STREET SHOP 1 SPARGS BUILDING, 40 MAIN STREET KOKSTAD KOKSTAD KWAZULU-NATAL",0141,PEP KOKSTAD
"0145 PEP SASOLBURG SHOP 9 SAKE COMPLEX , WANDELLAAN STREET SASOLBURG SASOLBURG FREE STATE",0145,PEP SASOLBURG
"0150 PEP MONTAGU SHOP _ BUILDING _, 37 BAD STREET BERGSIG MONTAGU WESTERN CAPE",0150,PEP MONTAGU
"0154 PEP PAARL 97 LADY GREY ST SHOP _ BUILDING _, 97 LADY GREY STREET PAARL PAARL WESTERN CAPE",0154,PEP PAARL
"0156 PEP PRIESKA SHOP, CHURCH STREET PRIESKA PRIESKA NORTHERN CAPE",0156,PEP PRIESKA
"0164 PEP MOKOPANE RUITER ROAD SHOP, C/O RUITER ROAD NELSON MANDELA DRIVE MOKOPANE MOKOPANE LIMPOPO",0164,PEP MOKOPANE
"0169 PEP KIMBERLEY KIM PARK CENTRE SHOP GF 18A & 19 KIM PARK CENTRE, CORNER LENNOX STREET CHAPEL STREET KIMBERLEY KIMBERLEY NORTHERN CAPE",0169,PEP KIMBERLEY
"0176 PEP SCHWEIZER RENEKE SHOP _ BUILDING _, 8 OLIVIER STREET SCHWEIZER-RENEKE SCHWEIZER-RENEKE NORTH WEST",0176,PEP SCHWEIZER
"0180 PEP WITBANK HIGHVELD CENTRE SHOP 13 HIGHVELD CENTRE, WATERMEYER STREET WITBANK WITBANK MPUMALANGA",0180,PEP WITBANK
"0184 PEP UPINGTON SCOTT STREET SHOP 2 UNEX BUILDING, 36 SCOTT STREET UPINGTON UPINGTON NORTHERN CAPE",0184,PEP UPINGTON
"0186 PEP VEREENIGING PnP CENTRE SHOP 4 PICK 'N PAY CENTRE , MARKET STREET RAILWAY STREET VEREENIGING VEREENIGING GAUTENG",0186,PEP VEREENIGING
"0187 PEP DELAREYVILLE GEN DELAREY SHOP _ BUILDING _, 27 GENERAAL DELAREY STREET DELAREYVILLE DELAREYVILLE NORTH WEST",0187,PEP DELAREYVILLE
"0192 PEP VRYBURG DE KOCK SHOP 4 SHOPRITE CENTRE, CORNER STELLA STREET DE KOCK STREET VRYBURG VRYBURG NORTH WEST",0192,PEP VRYBURG
"0194 PEP WELLINGTON CHURCH STREET SHOP _ BUILDING _, 40 CHURCH STREET WELLINGTON WELLINGTON WESTERN CAPE",0194,PEP WELLINGTON
"0205 PEP ZEERUST BHYHOLDT CENTRE BHYHOLDT CENTRE, 39 CHURCH STREET ZEERUST ZEERUST NORTH WEST",0205,PEP ZEERUST
"0206 PEP KAKAMAS 11TH AVENUE SHOP, ELEVENTH AVENUE KAKAMAS KAKAMAS NORTHERN CAPE",0206,PEP KAKAMAS
"0208 PEP DELMAS SAREL CILLIERS STR SHOP, 41 SAREL CILLIERS STREET DELMAS DELMAS MPUMALANGA",0208,PEP DELMAS
"0210 PEP LADYSMITH MURCHISON MALL SHOP LG11, MURCHISON MALL , MURCHISON STREET LADYSMITH LADYSMITH KWAZULU-NATAL",0210,PEP LADYSMITH
"0218 PEP LOUIS TRICHARDT BURGER STR SHOP, C/O SONGOZWI STREET BURGER STREET LOUIS TRICHARDT LOUIS TRICHARDT LIMPOPO",0218,PEP LOUIS
"0223 PEP MIDDELBURG MP CHECKERS MIDDELBURG CHECKERS CENTRE, C/O SADAC STREET JOHN MAGAGULA STREET MIDDELBURG MIDDELBURG MPUMALANGA",0223,PEP MIDDELBURG
"0229 PEP DR PIXLEY KASEME STREET SHOP _ BUILDING _, 442 DR PIXLEY KASEME STREET DURBAN DURBAN KWAZULU-NATAL",0229,PEP DR
"0233 PEP VRYHEID 261 CHURCH STREET SHOP, 261 CHURCH STREET VRYHEID VRYHEID KWAZULU-NATAL",0233,PEP VRYHEID
"0238 PEP POTCH WALTER SISULU LANE SHOP _ BUILDING _, 149 WALTER SISULU LANE POTCHEFSTROOM POTCHEFSTROOM NORTH WEST",0238,PEP POTCH
"0241 PEP SENEKAL SHOP, 37 DREYER STREET SENEKAL SENEKAL FREE STATE",0241,PEP SENEKAL
"0245 PEP ROBERTSON SHOP _ BUILDING _, 32 REITZ STREET ROBERTSON ROBERTSON WESTERN CAPE",0245,PEP ROBERTSON
